region_country,model,sample_mean,upper_95_ui,lower_95_ui,sd,level,definition
Nepal,11.53,12.22,28.29,4.58,5.76,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Netherlands,697.08,732.47,1700.81,262.58,361.91,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
New Zealand,464.66,475.12,1007.66,175.03,205.58,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nicaragua,37.71,39.95,87.08,15.61,18.31,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Niger,4.64,4.72,10.17,1.74,2.18,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Nigeria,22.61,24.17,51.42,9.04,11.39,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Niue,331.61,341.84,735.54,125.03,155.57,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Norway,1026.85,1068.19,2418.24,411.56,498.01,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Oman,317.71,324.84,705.53,126.8,146.01,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Pakistan,26.18,26.95,58.06,10.6,12.55,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Palau,241.97,254.28,550.64,95.63,120.86,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Panama,183.74,194.82,419.1,74.69,90.99,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Papua New Guinea,23.86,24.63,55.26,9.54,11.61,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Paraguay,67.6,70.94,149.74,27.83,32.53,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Peru,118.43,121.29,258.6,46.09,58.06,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Philippines,41.86,44.07,93.13,16.75,20.73,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Poland,290.54,302.82,645.02,120.26,133.56,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Portugal,387.92,408.17,919.68,152.34,195.39,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Qatar,1464.13,1528.54,3381.27,545.95,720.1,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Republic of Korea,444.03,452.97,943.99,177.16,202.12,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Republic of Moldova,32.21,33.67,70.8,13.11,14.84,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Romania,202.65,210.68,466.93,88.23,96.38,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Russian Federation,300.04,313.35,678.27,114.96,154.36,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Rwanda,9.85,10.34,23.9,4.24,4.85,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Kitts and Nevis,248.01,261.62,577.25,100.78,121.59,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Lucia,143,150.53,304.94,59.8,66.73,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saint Vincent and the Grenadines,133.33,139.81,299.28,52.31,66.18,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Samoa,45.76,48.17,100.06,17.76,21.87,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
San Marino,841.44,862.77,1918.51,331.06,401.7,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sao Tome and Principe,16.95,17.89,37.83,6.39,8.15,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Saudi Arabia,350.3,367.18,797.77,149.12,167.71,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Senegal,17,17.42,36.68,6.63,7.87,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Serbia,142.45,149.01,321.1,59.8,67.88,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Seychelles,342.53,360.53,765.92,143.12,161.52,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sierra Leone,9.2,9.36,19.72,3.62,4.2,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Singapore,1031.44,1104.01,2366.29,435.69,500.88,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Slovakia,346.11,367.41,786.64,138.25,179.51,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Slovenia,408.4,429.02,868.91,159.69,190.92,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Solomon Islands,27.32,28.68,63.28,11.5,13.55,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Somalia,NA,NA,NA,NA,NA,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
South Africa,130.83,137.45,295.29,49.57,63.41,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Spain,500.4,536.66,1172.07,209.5,248.19,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sri Lanka,56.6,58.97,126.67,23.33,27.39,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sudan,24.54,25.6,56.58,9.77,12.65,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Suriname,95.63,98.61,199.38,37.71,43.96,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Swaziland,58.73,62.3,131.96,24.04,28.44,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Sweden,650.28,667.54,1382.35,261.19,297.03,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Switzerland,842.31,885,1982.62,330.2,422.26,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Syrian Arab Republic,65.42,67.82,143.07,25.8,31.31,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tajikistan,18.03,19.08,40.51,7.41,8.52,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Thailand,109.89,114.33,248.03,42.15,52.13,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
The former Yugoslav Republic of Macedonia,143.7,147.78,308.57,54.91,67.46,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Timor-Leste,13.47,13.79,30.4,5.21,6.44,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Togo,7.71,8.12,16.45,3.28,3.42,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tonga,50.04,51.27,114.46,19.71,23.74,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Trinidad and Tobago,396.59,410.29,916.22,161.32,197.09,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tunisia,118.99,126.17,288.89,47.1,61.01,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Turkey,219.99,232.23,505.62,86.19,107.32,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Turkmenistan,99.42,103.8,229.96,38.48,49.65,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tuvalu,26.57,27.93,62.94,10.4,13.16,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Uganda,10.68,11.46,25.35,4.27,5.34,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ukraine,78.23,80.33,172.97,29.96,36.26,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United Arab Emirates,705.15,740.8,1629.96,294.82,338.45,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United Kingdom,572.88,612.29,1397.2,218.78,299.66,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United Republic of Tanzania,12.06,12.6,28.03,4.84,6.02,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
United States of America,797.05,834.13,1789.65,318.51,375.56,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Uruguay,188.63,198.28,421.16,79.22,90.64,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Uzbekistan,31.94,33.35,71.19,13.36,15.64,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Vanuatu,48.27,50.09,104.31,19.52,22.43,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Venezuela (Bolivarian Republic of),159.07,165.25,362.28,64.98,76.45,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Viet Nam,31.6,33.45,70.17,13.18,14.85,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Yemen,24.37,25.56,55.7,10.35,11.49,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Zambia,13.45,13.61,28.98,5.2,6.4,secondary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AFRO D,34.87,36.28,79.91,14.04,16.97,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AFRO E,28.38,30.29,64.06,11.75,13.63,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO A,976.25,1026.92,2252.02,385.07,485.89,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO B,214.88,228.86,492.06,88.9,108.08,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
AMRO D,99.8,105.63,241.73,42.13,50.67,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Andean Latin America,132.9,135.3,281.71,56.72,60.02,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Australasia,851.3,885.52,1844.31,323.1,416.02,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Caribbean,88.1,90.45,193.14,35.15,40.15,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Asia,91.04,93.49,198.21,35.99,43.2,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Europe,330.09,345.23,762.93,130.75,163.33,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Latin America,208.59,218.31,452.34,87.59,99.01,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central Sub-Saharan Africa,25.7,26.25,57,9.87,11.46,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EMRO B,311.9,321.97,662.26,123.44,148.86,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EMRO D,45.83,48.27,107.41,18.57,21.74,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO A,729.63,774.86,1722.65,293.21,370.14,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO B,224.71,229.55,490.99,89.93,105.61,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
EURO C,302.59,313.59,686.77,125.72,142.63,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
East Asia,114.23,119.82,266.93,45.6,56.08,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eastern Europe,305.62,316.06,671.52,121.52,148.49,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eastern Sub-Saharan Africa,15.08,16.19,34.92,5.62,7.68,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
High Income Asia Pacific,678.39,735.35,1688.08,257.22,371.9,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
High Income North America,1011.13,1104.96,2451.26,440.35,527.29,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
North Africa and the Middle East,194.23,196.79,410.72,75.71,87.22,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Oceania,36.1,37.42,78.86,14.12,17.02,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
SEARO B,76.51,78.8,173.8,29.86,36.67,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
SEARO D,41.43,44.36,95.96,17.45,20.52,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
South Asia,40.79,41.94,89.71,16.21,19.13,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southeast Asia,68.03,72.71,152.23,29.45,32.87,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southern Latin America,299.64,313.93,674.14,121.64,144.97,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Southern Sub-Saharan Africa,161.72,170.64,352.53,64.07,76.06,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Tropical Latin America,184.14,191.51,417.33,71.09,91.3,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
WPRO A,739.7,760.79,1681.43,315.91,354.1,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
WPRO B,118.91,124.22,268.16,48.02,57.43,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Western Europe,740.32,757.51,1659.15,297.87,351.33,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Western Sub-Saharan Africa,22.6,23.52,48.81,9.22,10.39,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Afghanistan,5.63,5.85,12.63,2.26,2.72,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Albania,139.12,146.45,314.09,53.98,70.3,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Algeria,126.3,134.41,278.63,52.49,60.42,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Andorra,934.99,953.04,1954.48,364.19,425.85,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Angola,82.26,84.66,181.57,34.43,39.1,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Antigua and Barbuda,366.01,382.45,839.5,153.85,180.13,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Argentina,286.31,297.22,637.8,117.93,137.5,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Armenia,83.52,87.26,183.16,33.57,42.05,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Australia,901.75,933.13,2119,364.06,441.7,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Austria,868.11,933.49,2029.34,334.8,438.57,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Azerbaijan,161.09,170.85,357.21,65.24,77.87,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bahamas,611.34,647.74,1393.26,253.76,295.75,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bahrain,382.36,400.24,871.6,153.11,187.37,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bangladesh,18.82,19.86,41.25,7.91,8.78,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Barbados,424.53,442.19,956.35,181.91,192.99,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belarus,242.44,251.18,530.26,100.93,114.58,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belgium,806.03,846.07,1864.64,322.14,380.88,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Belize,114.84,121.64,248.34,48.66,52.9,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Benin,16.98,17.45,38.5,6.82,7.97,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bhutan,81.92,85.73,187.72,32.67,38.07,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bolivia Plurinational States of,66.94,70.49,150.75,27.49,33.82,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bosnia and Herzegovina,135.31,141.27,314.72,53.58,63.97,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Botswana,254.26,262.51,564.21,102.78,118.98,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Brazil,36.43,37.96,78.69,14.63,16.61,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Brunei Darussalam,1124.83,1168.65,2635.23,416.05,581.76,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Bulgaria,242.75,254.94,556.17,89.85,115.29,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Burkina Faso,14.03,14.38,30.96,5.6,6.58,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Burundi,4.93,5.35,11.96,1.88,2.61,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cote d'Ivoire,23.45,23.94,48.44,9.24,10.51,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cabo Verde Republic of,53.98,56.2,118.5,21.16,25.87,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cambodia,26.27,27.62,56.92,11.12,12.49,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cameroon,26.45,27.39,56.34,11.54,11.91,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Canada,835.1,869.98,1869.47,331.92,403.22,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Central African Republic,8.02,8.18,16.74,3.24,3.78,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Chad,16.04,17.12,36.93,6.37,7.59,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Chile,342.87,358.13,788.96,148.41,162.49,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
China,114.23,118.92,266.05,44.98,58.39,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Colombia,151.97,160.1,341.88,58.16,73.69,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Comoros,12.77,13.67,29.47,5.27,6.15,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Congo,57.69,60.92,129.68,23.45,27.75,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cook Islands,152.25,155.89,334.99,59.73,71.53,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Costa Rica,195.62,206.86,426.9,75.74,94.28,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Croatia,346.44,353.05,704.02,136.78,160.72,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cuba,53.69,55.63,117.73,20.88,25.83,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Cyprus,612.15,637.29,1379.9,239.56,292.01,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Czech Republic,498.02,512.61,1143.91,192.74,233.04,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Democratic People's Republic of Korea,NA,NA,NA,NA,NA,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Democratic Republic of the Congo,3.25,3.35,7.2,1.32,1.52,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Denmark,873.52,904.02,1923.45,353.39,413.27,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Djibouti,29.29,30.84,62.48,12.1,13.44,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Dominica,208.69,216.47,431.25,91.98,96.39,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Dominican Republic,149.03,156.08,349.23,60.78,73.99,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ecuador,140.78,151.41,322.49,61.03,68.84,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Egypt,92.77,95.97,192.22,37.04,41.45,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
El Salvador,100.18,104.95,227.66,38.67,48.73,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Equatorial Guinea,569.99,598.53,1228.75,226.12,288.41,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Eritrea,4.59,4.88,10.85,1.76,2.31,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Estonia,379.15,386.46,803.39,151.59,172.39,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ethiopia,10.37,10.98,22.96,4.14,4.97,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Fiji,65.22,68.78,144.25,26.85,31.42,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Finland,757.81,789.39,1631.95,286.26,358.96,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
France,717.29,756.24,1688.33,301.6,346.7,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Gabon,249.56,255.37,552.09,97.04,122.54,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Gambia,23.49,24.62,53.78,9.06,11.38,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Georgia,73.86,75.68,160.89,29.25,33.35,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Germany,796.23,819.43,1820.4,303.06,388.29,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Ghana,19.25,20.37,43.01,7.95,9.49,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Greece,548.82,569.3,1206.52,226.01,260.5,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Grenada,172.33,174.81,394.78,66.22,80.21,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guatemala,68.12,71.71,154.05,27.79,33.6,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guinea,10.51,11.05,24.41,4.04,5.21,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guinea-Bissau,12.62,13.31,28.78,5.26,6.01,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Guyana,38.71,40.33,87.31,14.97,18.45,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Haiti,11.98,12.51,25.09,4.78,5.25,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Honduras,51.95,54.21,115.22,22.12,24.46,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Hungary,388.11,404.33,889.7,153.53,191.39,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
Iceland,743.51,798.93,1685.64,315.36,368.02,tertiary hospital,"Cost per inpatient bed day by hospital level (without drugs, 2010 International Dollars (PPP I$))"
